Date,RoomID,Beacon/0/UUID,Beacon/0/major,Beacon/0/minor,Beacon/0/RSSI,Beacon/1/UUID,Beacon/1/major,Beacon/1/minor,Beacon/1/RSSI,Beacon/2/UUID,Beacon/2/major,Beacon/2/minor,Beacon/2/RSSI,Wifi/0/SSID,Wifi/0/BSSID,Wifi/0/RSSI,Wifi/1/SSID,Wifi/1/BSSID,Wifi/1/RSSI,Wifi/2/SSID,Wifi/2/BSSID,Wifi/2/RSSI,Wifi/3/SSID,Wifi/3/BSSID,Wifi/3/RSSI,Wifi/4/SSID,Wifi/4/BSSID,Wifi/4/RSSI,Wifi/5/SSID,Wifi/5/BSSID,Wifi/5/RSSI,Wifi/6/SSID,Wifi/6/BSSID,Wifi/6/RSSI,Wifi/7/SSID,Wifi/7/BSSID,Wifi/7/RSSI,Wifi/8/SSID,Wifi/8/BSSID,Wifi/8/RSSI,Wifi/9/SSID,Wifi/9/BSSID,Wifi/9/RSSI,Wifi/10/SSID,Wifi/10/BSSID,Wifi/10/RSSI,Wifi/11/SSID,Wifi/11/BSSID,Wifi/11/RSSI,Wifi/12/SSID,Wifi/12/BSSID,Wifi/12/RSSI,Wifi/13/SSID,Wifi/13/BSSID,Wifi/13/RSSI,Wifi/14/SSID,Wifi/14/BSSID,Wifi/14/RSSI,Wifi/15/SSID,Wifi/15/BSSID,Wifi/15/RSSI,Wifi/16/SSID,Wifi/16/BSSID,Wifi/16/RSSI,Wifi/17/SSID,Wifi/17/BSSID,Wifi/17/RSSI,Wifi/18/SSID,Wifi/18/BSSID,Wifi/18/RSSI,Wifi/19/SSID,Wifi/19/BSSID,Wifi/19/RSSI,Wifi/20/SSID,Wifi/20/BSSID,Wifi/20/RSSI,Wifi/21/SSID,Wifi/21/BSSID,Wifi/21/RSSI,Wifi/22/SSID,Wifi/22/BSSID,Wifi/22/RSSI,Wifi/23/SSID,Wifi/23/BSSID,Wifi/23/RSSI,Wifi/24/SSID,Wifi/24/BSSID,Wifi/24/RSSI,Wifi/25/SSID,Wifi/25/BSSID,Wifi/25/RSSI,Wifi/26/SSID,Wifi/26/BSSID,Wifi/26/RSSI,Wifi/27/SSID,Wifi/27/BSSID,Wifi/27/RSSI,Wifi/28/SSID,Wifi/28/BSSID,Wifi/28/RSSI,Wifi/29/SSID,Wifi/29/BSSID,Wifi/29/RSSI,Wifi/30/SSID,Wifi/30/BSSID,Wifi/30/RSSI,Wifi/31/SSID,Wifi/31/BSSID,Wifi/31/RSSI,Wifi/32/SSID,Wifi/32/BSSID,Wifi/32/RSSI,Wifi/33/SSID,Wifi/33/BSSID,Wifi/33/RSSI,Wifi/34/SSID,Wifi/34/BSSID,Wifi/34/RSSI
2017/4/27 11:51,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,1,-64,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-57,a9d71355-6595-1801-b7ea-001c4d678e7c,30,2,-84,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-42,n-itolab,00:a0:de:e2:6b:70,-60,n-itolab-ac,80:ea:96:f2:cc:77,-75,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-41,webmo,fc:db:b3:91:c2:64,-47,3F-Naito-Lab,90:72:40:25:d1:26,-69,n-itolab-g,00:a0:de:e2:6b:69,-48,n-itolab-ac,80:ea:96:f2:cc:76,-60,n-itolab-n,00:a0:de:e2:6b:68,-49,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-39,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-86,ait-wnet_A,00:24:a5:7b:aa:30,-85,clabpro_G,00:24:a5:7b:d1:70,-79,4b-matslaboEX,cc:e1:d5:51:4e:c0,-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/27 11:51,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,1,-81,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-71,a9d71355-6595-1801-b7ea-001c4d678e7c,30,2,-50,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-46,n-itolab,00:a0:de:e2:6b:70,-63,n-itolab-ac,80:ea:96:f2:cc:77,-82,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-39,webmo,fc:db:b3:91:c2:64,-50,3F-Naito-Lab,90:72:40:25:d1:26,-60,n-itolab-g,00:a0:de:e2:6b:69,-52,n-itolab-ac,80:ea:96:f2:cc:76,-60,n-itolab-n,00:a0:de:e2:6b:68,-50,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-40,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-83,ait-wnet_A,00:24:a5:7b:aa:30,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/27 11:51,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,1,-80,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-65,a9d71355-6595-1801-b7ea-001c4d678e7c,30,2,-59,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-43,n-itolab,00:a0:de:e2:6b:70,-60,n-itolab-ac,80:ea:96:f2:cc:77,-79,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-39,webmo,fc:db:b3:91:c2:64,-42,3F-Naito-Lab,90:72:40:25:d1:26,-62,n-itolab-g,00:a0:de:e2:6b:69,-53,n-itolab-ac,80:ea:96:f2:cc:76,-52,n-itolab-n,00:a0:de:e2:6b:68,-58,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-41,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-83,ait-wnet_A,00:24:a5:7b:aa:30,-83,4b-matslaboEX,cc:e1:d5:51:4e:c0,-76,ait-wnet,00:24:a5:7b:b2:80,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/27 11:51,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,1,-58,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-59,a9d71355-6595-1801-b7ea-001c4d678e7c,30,2,-64,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-50,n-itolab,00:a0:de:e2:6b:70,-58,n-itolab-ac,80:ea:96:f2:cc:77,-77,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-32,webmo,fc:db:b3:91:c2:64,-48,3F-Naito-Lab,90:72:40:25:d1:26,-60,n-itolab-g,00:a0:de:e2:6b:69,-55,n-itolab-ac,80:ea:96:f2:cc:76,-57,n-itolab-n,00:a0:de:e2:6b:68,-57,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-34,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-84,sawano-lab-2,00:07:40:fe:a3:65,-83,ait-wnet_A,00:24:a5:7b:aa:30,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/27 11:52,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,1,-73,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-67,a9d71355-6595-1801-b7ea-001c4d678e7c,30,2,-60,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-40,n-itolab,00:a0:de:e2:6b:70,-63,n-itolab-ac,80:ea:96:f2:cc:77,-74,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-43,webmo,fc:db:b3:91:c2:64,-47,n-itolab-g,00:a0:de:e2:6b:69,-56,n-itolab-ac,80:ea:96:f2:cc:76,-50,n-itolab-n,00:a0:de:e2:6b:68,-54,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-44,ait-wnet_A,00:24:a5:7b:aa:30,-81,clabpro_G,00:24:a5:7b:d1:70,-75,sawano2-lab,4c:32:75:c6:d3:a4,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/27 11:53,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,1,-54,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-61,a9d71355-6595-1801-b7ea-001c4d678e7c,30,2,-61,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-46,n-itolab,00:a0:de:e2:6b:70,-70,n-itolab-ac,80:ea:96:f2:cc:77,-84,webmo,fc:db:b3:91:c2:64,-52,n-itolab-g,00:a0:de:e2:6b:69,-59,n-itolab-ac,80:ea:96:f2:cc:76,-60,n-itolab-n,00:a0:de:e2:6b:68,-59,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-87,3F-Naito-Lab,90:72:40:25:d1:26,-64,4b-matslaboEX,cc:e1:d5:51:4e:c0,-79,ait formula,00:90:fe:f7:da:b2,-87,ait-wnet_A,00:24:a5:7b:aa:30,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/27 11:53,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,1,-61,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-69,a9d71355-6595-1801-b7ea-001c4d678e7c,30,2,-62,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-44,n-itolab,00:a0:de:e2:6b:70,-66,n-itolab-ac,80:ea:96:f2:cc:77,-88,webmo,fc:db:b3:91:c2:64,-51,n-itolab-g,00:a0:de:e2:6b:69,-63,n-itolab-ac,80:ea:96:f2:cc:76,-62,n-itolab-n,00:a0:de:e2:6b:68,-62,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-87,3F-Naito-Lab,90:72:40:25:d1:26,-64,ait-wnet_A,00:24:a5:7b:aa:30,-88,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-41,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/27 11:53,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,1,-75,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-60,a9d71355-6595-1801-b7ea-001c4d678e7c,30,2,-74,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-49,n-itolab,00:a0:de:e2:6b:70,-62,n-itolab-ac,80:ea:96:f2:cc:77,-85,webmo,fc:db:b3:91:c2:64,-51,n-itolab-g,00:a0:de:e2:6b:69,-52,n-itolab-ac,80:ea:96:f2:cc:76,-51,n-itolab-n,00:a0:de:e2:6b:68,-48,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-83,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-47,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-46,4-kawabe-lab-205,00:16:01:83:34:49,-72,4b-matslaboEX,cc:e1:d5:51:4e:c0,-73,3F-Naito-Lab,90:72:40:25:d1:26,-59,ait-wnet_A,00:24:a5:7b:aa:30,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/27 11:53,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,1,-74,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-70,a9d71355-6595-1801-b7ea-001c4d678e7c,30,2,-74,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-53,n-itolab,00:a0:de:e2:6b:70,-60,n-itolab-ac,80:ea:96:f2:cc:77,-85,webmo,fc:db:b3:91:c2:64,-40,n-itolab-g,00:a0:de:e2:6b:69,-52,n-itolab-ac,80:ea:96:f2:cc:76,-57,n-itolab-n,00:a0:de:e2:6b:68,-54,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-85,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-45,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-44,4b-matslaboEX,cc:e1:d5:51:4e:c0,-77,3F-Naito-Lab,90:72:40:25:d1:26,-63,ait-wnet_A,00:24:a5:7b:aa:30,-83,sawano-lab-2,00:07:40:fe:a3:65,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/4/27 11:54,RoomA,a9d71355-6595-1801-b7ea-001c4d678e7c,30,1,-74,a9d71355-6595-1801-b7ea-001c4d678e7c,30,3,-69,a9d71355-6595-1801-b7ea-001c4d678e7c,30,2,-63,KJLB-StuRoom-108ac,c0:25:a2:a7:2e:2b,-50,n-itolab,00:a0:de:e2:6b:70,-61,n-itolab-ac,80:ea:96:f2:cc:77,-82,webmo,fc:db:b3:91:c2:64,-34,n-itolab-g,00:a0:de:e2:6b:69,-52,n-itolab-ac,80:ea:96:f2:cc:76,-55,n-itolab-n,00:a0:de:e2:6b:68,-56,3F-Naito-Lab 5GHz,90:72:40:25:d1:27,-84,KJLB-StuRoom-108g,74:03:bd:2f:33:a9,-46,KJLB-cocoRobo-108g,76:03:bd:1f:33:a9,-48,3F-Naito-Lab,90:72:40:25:d1:26,-68,ait-wnet_A,00:24:a5:7b:aa:30,-88,clabpro_G,00:24:a5:7b:d1:70,-76,4-kawabe-lab-204,00:16:01:57:b7:11,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
